BatchFileName,Indiv_Index,Race,DifficultyPerceiving,AgeCategory,Gender,DistanceBetweenOfficerAndIndividual,ReasonUseOfForce_EffectArrest,ReasonUseOfForce_PreventOffence,ReasonUseOfForce_PreventEscape,ReasonUseOfForce_ProtectOtherOfficers,ReasonUseOfForce_ProtectPublic,ReasonUseOfForce_ProtectSelf,ReasonUseOfForce_ProtectIndividual,ReasonUseOfForce_Unintentional,ReasonUseOfForce_Other,FactorsInfluenceResponse_NatureIncident,FactorsInfluenceResponse_PastHistory,FactorsInfluenceResponse_PhysicalSizeStrength,FactorsInfluenceResponse_OtherFactors,IndividualActions_ResistantPassive,IndividualActions_ResistantActive,IndividualActions_Assaultive,IndividualActions_SeriousBodilyHarmDeath,PerceiveAccessWeapon,OfficerResponses_DirectionsToComply,OfficerResponses_Comply,OfficerResponses_AttemptDeescalation,OfficerResponses_DeescalationTechniques_Communication,OfficerResponses_DeescalationTechniques_Containment,OfficerResponses_DeescalationTechniques_Cover,OfficerResponses_DeescalationTechniques_Distance,OfficerResponses_DeescalationTechniques_Repositioning,OfficerResponses_DeescalationTechniques_Teamwork,OfficerResponses_DeescalationTechniques_Time,OfficerResponses_DeescalationTechniques_Other,OfficerResponses_AssistControllingBehaviour,OfficerResponses_Reason_ImminentThreat,OfficerResponses_Reason_ActionRequiredImmediately,OfficerResponses_Reason_DeescalationUsedOtherOfficers,OfficerResponses_Reason_Other,TypeForceUsed_PhysicalControl_Check,TypeForceUsed_PhysicalControl_EscortTechniques,TypeForceUsed_PhysicalControl_Grounding,TypeForceUsed_PhysicalControl_Jointlocks,TypeForceUsed_PhysicalControl_Pinning,TypeForceUsed_PhysicalControl_PressurePoints,TypeForceUsed_PhysicalControl_Strikes,TypeForceUsed_PhysicalControl_Other,TypeForceUsed_PhysicalControl_AssistControllingBehaviour,TypeForceUsed_IntermediateWeapon_Check,TypeForceUsed_IntermediateWeapon_OC_Check,TypeForceUsed_IntermediateWeapon_OC_AssistControllingBehaviour,TypeForceUsed_IntermediateWeapon_Baton_Check,TypeForceUsed_IntermediateWeapon_Baton_Hard,TypeForceUsed_IntermediateWeapon_Baton_Soft,TypeForceUsed_IntermediateWeapon_Baton_AssistControllingBehaviour,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_Check,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_AssistControllingBehaviour,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_CartridgeMalfunction,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_Disconnect,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_InsufficientProbeSpread,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_OperatorError,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_ProbeMiss,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_WeaponMalfunction,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_Other,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_Drawn,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_Pointed,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_Discharged,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_DeloymentMode_Cartridge,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_DeloymentMode_DrivePushStun,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_DeloymentMode_ThreePointContact,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_DrivePushStunCycles,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_ThreePointContactCycles,TypeForceUsed_LessLethalFirearm_Check,TypeForceUsed_LessLethalFirearm_Shotgun_Check,TypeForceUsed_LessLethalFirearm_Shotgun_Pointed,TypeForceUsed_LessLethalFirearm_Shotgun_Discharged,TypeForceUsed_LessLethalFirearm_Shotgun_AssistControllingBehaviour,TypeForceUsed_LessLethalFirearm_ExtendedRangeImpactWeapon_Check,TypeForceUsed_LessLethalFirearm_ExtendedRangeImpactWeapon_Pointed,TypeForceUsed_LessLethalFirearm_ExtendedRangeImpactWeapon_Discharged,TypeForceUsed_LessLethalFirearm_ExtendedRangeImpactWeapon_AssistControllingBehaviour,TypeForceUsed_Other_Check,TypeForceUsed_Other_AssistControllingBehaviour,TypeForceUsed_Firearm_Check,TypeForceUsed_Firearm_Handgun_Check,TypeForceUsed_Firearm_Handgun_Drawn,TypeForceUsed_Firearm_Handgun_Pointed,TypeForceUsed_Firearm_Handgun_Discharged,TypeForceUsed_Firearm_Handgun_AssistControllingBehaviour,TypeForceUsed_Firearm_Rifle_Check,TypeForceUsed_Firearm_Rifle_Pointed,TypeForceUsed_Firearm_Rifle_Discharged,TypeForceUsed_Firearm_Rifle_AssistControllingBehaviour,TypeForceUsed_Firearm_ShotgunLethal_Check,TypeForceUsed_Firearm_ShotgunLethal_Pointed,TypeForceUsed_Firearm_ShotgunLethal_Discharged,TypeForceUsed_Firearm_ShotgunLethal_AssistControllingBehaviour,TypeForceUsed_Firearm_IssuePoliceChallenge,TypeForceUsed_Firearm_Comply,TypeForceUsed_Firearm_NoChallengeWhyNot_NotViable,TypeForceUsed_Firearm_NoChallengeWhyNot_IssuedByAnotherOfficer,TypeForceUsed_Firearm_NoChallengeWhyNot_Other,IndividualInjuries_PhysicalInjuriesIndividual,IndividualInjuries_Treatment_No,IndividualInjuries_Treatment_FirstAid,IndividualInjuries_Treatment_MedicalPersonnelScene,IndividualInjuries_Treatment_AdmissionMedicalFacility,IndividualInjuries_Treatment_MedicalFacility,IndividualInjuries_Treatment_Unknown,IndividualInjuries_Treatment_Other
812001514,1,Indigenous,No,35 - 44,Male,Less than 3 metres (approx. 10 feet),,1,,,1,,,,,,,,,,1,1,,,Yes,No,Yes,1,,,,,1,,,No,,,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,1,1,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
949578855,1,White,No,18 - 24,Female,Less than 3 metres (approx. 10 feet),,,,1,,,,,1,,,,,,,1,,,Yes,No,Yes,1,,,,,,1,,No,,,,,1,,,,1,,,,Yes,1,,"",,,,"",1,Yes,,,,,,,,,,1,,1,,Single Cycle (5 seconds),"",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
729541390,1,White,No,45 - 54,Male,Less than 3 metres (approx. 10 feet),,,,1,1,1,,,1,1,,,,,,,,,Yes,Yes,Yes,1,1,1,,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",No,"",,,1,No,,,,,,,
729541390,2,White,No,45 - 54,Male,Less than 3 metres (approx. 10 feet),,,,1,1,1,,,1,1,,,,,,,,,Yes,Yes,Yes,1,1,1,,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",No,"",,1,,No,,,,,,,
843368862,1,White,No,45 - 54,Male,Less than 3 metres (approx. 10 feet),,,,1,1,,1,,1,1,,,,,,,,,Yes,Yes,Yes,1,1,1,,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",No,"",,1,,No,,,,,,,
843368862,2,White,No,45 - 54,Male,Less than 3 metres (approx. 10 feet),,,,1,1,1,,,1,1,,,,,,,,,Yes,Yes,Yes,1,1,1,,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
148955600,1,Black,No,25 - 34,Male,Less than 3 metres (approx. 10 feet),,,,1,1,1,,,,1,,,,,,,,,Yes,Yes,Yes,,,,1,,1,,,Yes,,,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,1,1,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
313694372,1,East/Southeast Asian,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),,,,1,1,1,,,,1,,,,,,,,1,Yes,Yes,No,,,,,,,,,"",1,1,,,1,1,,,,,,,Yes,,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",No,"",1,,1,No,,,,,,,
313694372,2,East/Southeast Asian,No,25 - 34,Female,3 to 7 metres (approx. 10 to 23 feet),,,,1,1,1,,,,1,,,,,,,,1,Yes,Yes,No,,,,,,,,,"",1,1,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",No,"",1,,1,No,,,,,,,
788371579,1,East/Southeast Asian,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),,,,1,1,1,,,,1,,,,,,,,1,No,"",No,,,,,,,,,"",1,1,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",No,"",1,,1,No,,,,,,,
788371579,2,East/Southeast Asian,No,25 - 34,Female,3 to 7 metres (approx. 10 to 23 feet),,,,1,1,1,,,,1,,,,,,,,1,No,"",No,,,,,,,,,"",1,1,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",No,"",1,,1,No,,,,,,,
618338024,1,Latino,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),,,,1,1,,,,,,,,,,,,1,,No,"",Yes,1,1,,,,,,,No,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,No,,,,"",,,,"","","",,,,No,,,,,,,
618338024,2,Latino,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),,,,,1,,,,,,,,,,,,1,,No,"",Yes,1,1,,,,,,,No,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,No,,,,"",,,,"","","",,,,No,,,,,,,
894225363,1,East/Southeast Asian,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),,1,,,1,1,1,,,1,,,,,,1,,,Yes,Yes,No,,,,,,,,,"",,1,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,1,,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
894225363,2,East/Southeast Asian,No,35 - 44,Male,3 to 7 metres (approx. 10 to 23 feet),,1,,,1,1,1,,,1,,,,,,1,,,Yes,Yes,No,,,,,,,,,"",,1,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,1,,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
569459782,1,Black,No,18 - 24,Male,3 to 7 metres (approx. 10 to 23 feet),,,1,1,,,,,,1,,1,,1,,,,,Yes,Yes,Yes,1,,,1,1,1,1,,Yes,,,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,1,1,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
213372872,1,White,No,25 - 34,Male,Less than 3 metres (approx. 10 feet),,,,1,1,1,1,,,,1,1,1,,,1,,,Yes,No,No,,,,,,,,,"",,1,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,,,1,1,1,,Single Cycle (5 seconds),"",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
939537346,1,White,No,35 - 44,Male,3 to 7 metres (approx. 10 to 23 feet),,,1,,,1,1,,,,,,,,1,1,,1,No,"",Yes,1,,,,1,,,,No,,,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,,,1,1,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,Yes,,,,1,,,
828680240,1,White,No,25 - 34,Male,Less than 3 metres (approx. 10 feet),,,,,,1,,,,,,,1,,,,,,Yes,Yes,Yes,1,,,1,,,,,Yes,,,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,,1,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
724144049,1,White,No,25 - 34,Male,Less than 3 metres (approx. 10 feet),,,,,,1,,,,,,,1,,,,,,Yes,Yes,Yes,1,,,1,,,,,Yes,,,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,,1,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
480628715,1,White,No,25 - 34,Male,Greater than 7 metres (more than 23 feet),,1,,1,1,1,,,,1,,,,,,,,1,Yes,Yes,No,,,,,,,,,"",1,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,No,,,,"",,,,"","","",,,,No,,,,,,,
900010236,1,White,No,25 - 34,Male,Greater than 7 metres (more than 23 feet),,1,,1,1,1,,,,1,,,,,,,,1,Yes,Yes,No,,,,,,,,,"",1,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,Yes,,,,"",,,,"","","",,,,No,,,,,,,
479925650,1,South Asian,No,25 - 34,Male,Less than 3 metres (approx. 10 feet),,1,,1,1,1,1,,,1,,,,,,,,1,Yes,Yes,Yes,1,,,,,,,,Yes,,,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,1,1,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",Yes,Yes,,,,No,,,,,,,
240727337,1,East/Southeast Asian,No,35 - 44,Female,Less than 3 metres (approx. 10 feet),,,,1,1,1,1,,,1,,,,,,,,,Yes,Yes,Yes,1,,,,,,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,Yes,,,,"",,,,"","","",,,,No,,,,,,,
240727337,2,East/Southeast Asian,No,17 and younger,Male,Less than 3 metres (approx. 10 feet),,,,1,1,1,1,,,1,,,,,,,,,Yes,Yes,Yes,1,,,,,,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,Yes,,,,"",,,,"","","",,,,No,,,,,,,
332167484,1,East/Southeast Asian,No,25 - 34,Female,Less than 3 metres (approx. 10 feet),,,,1,1,1,1,,,1,,,1,,,,,1,Yes,Yes,Yes,1,,1,1,1,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,Yes,,,,"",,,,"","","",,,,No,,,,,,,
332167484,2,East/Southeast Asian,No,17 and younger,Male,Less than 3 metres (approx. 10 feet),,,,,,,,,1,1,,,1,,,,,,Yes,Yes,No,,,,,,,,,"",,,,1,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,Yes,,,,"",,,,"","","",,,,No,,,,,,,
790484541,1,East/Southeast Asian,No,45 - 54,Male,Less than 3 metres (approx. 10 feet),,1,,1,1,,,,,,,,,1,1,1,,,Yes,Yes,Yes,1,,,,,,,1,Yes,,,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,1,1,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
365863383,1,White,No,18 - 24,Male,3 to 7 metres (approx. 10 to 23 feet),,1,,,1,,1,,,1,,,,,,1,,,Yes,Yes,Yes,1,,,1,,,,,Yes,,,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,1,1,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
